City served / location;ICAO;Airport name;Usage
Abbeville / Buigny-Saint-Maclou;LFOI;Aerodrome Abbeville;Public
Agen / La Garenne;LFBA;Agen La Garenne Airport;Public
Aire-sur-l'Adour;LFDA;Aire-sur-l'Adour Airport;Public
Aix-en-Provence / Les Milles;LFMA;Aix-en-Provence Aerodrome (BA 114);Public/mil.
Ajaccio / Campo dell'Oro;LFKJ;Ajaccio Napoleon Bonaparte Airport;Public
Albert / Bray-sur-Somme;LFAQ;Albert – Picardie Airport;Restricted
Albertville;LFKA;Albertville Aerodrome;Restricted
Albi / Le Sequestre;LFCI;Albi - Le Sequestre Aerodrome (UAF);Public
Alençon / Valframbert;LFOF;Alençon - Valframbert Aerodrome (WEB UAF);Public
Alès / Deaux;LFMS;Alès - Deaux Airport;Public
Alpe d'Huez;LFHU;Alpe d'Huez Airport;
Ambérieu-en-Bugey;LFXA;Ambérieu-en-Bugey Air Base (BA 278);Public/mil.
Ambert / Le Poyet;LFHT;Ambert - Le Poyet Airport;Public
Amboise / Dierre;LFEF;Amboise - Dierre Airport;Public
Amiens / Glisy;LFAY;Amiens – Glisy Aerodrome;Public
Ancenis;LFFI;Ancenis Aerodrome (UAF);Public
Andernos-les-Bains;LFCD;Andernos-les-Bains Airport;Public
Angers / Avrillé;LFRA;Angers – Avrillé Airport;
Angers / Marcé;LFJR;Angers – Loire Airport;Public
Angoulême / Brie / Champniers;LFBU;Angoulême – Cognac International Airport;Public
Annecy / Meythet;LFLP;Annecy – Haute-Savoie – Mont Blanc Airport;Public
Annemasse;LFLI;Annemasse Aerodrome;Public
Arbois;LFGD;Arbois Aerodrome;Restricted
Arcachon / La Teste-de-Buch;LFCH;Arcachon – La Teste-de-Buch Airport;Public
Argentan;LFAJ;Argentan Aerodrome (UAF);Public
Argenton-sur-Creuse;LFEG;Argenton-sur-Creuse Airport;Public
Arras / Roclincourt;LFQD;Arras – Roclincourt Airport;Public
Aspres-sur-Buëch;LFNJ;Aspres-sur-Buëch Aerodrome;Restricted
Aubagne;;Aubagne - Agora Heliport;
Aubenas / Ardèche Méridional;LFHO;Aubenas Aerodrome;Public
Aubenasson;LFJF;Aubenasson Aerodrome;Restricted
Aubigny-sur-Nère;LFEH;Aubigny-sur-Nère Airport;Public
Auch / Lamothe-Goas;LFDH;Auch - Lamothe Airport (UAF);Public
Aurillac;LFLW;Aurillac – Tronquières Airport;Public
Autun / Bellevue;LFQF;Autun - Bellevue Aerodrome (UAF);Public
Auxerre / Branches;LFLA;Auxerre – Branches Aerodrome;Public
Avallon;LFGE;Avallon Airport;Public
Avignon / Caumont-sur-Durance;LFMV;Avignon – Provence Airport;Public
Avignon / Pujaut;LFNT;Avignon - Pujaut Aerodrome (UAF);Restricted
Avord;LFOA;Avord Air Base (BA 702);Military
Avranches / Le Val-Saint-Père;LFRW;Avranches - Le Val-Saint-Père Aerodrome;Restricted
Bagnères-de-Luchon;LFCB;Bagnères-de-Luchon Airport;Public
Bagnoles-de-l'Orne / Couterne;LFAO;Bagnoles-de-l'Orne - Couterne Airport;Public
Bailleau-Armenonville;LFFL;Bailleau-Armenonville Aerodrome;Restricted
Barcelonnette / Saint-Pons;LFMR;Barcelonnette – Saint-Pons Airfield;Public
Bar-le-Duc / Les Hauts-de-Chée;LFEU;Bar-le-Duc - Les Hauts-de-Chée Airport;Public
Bar-sur-Seine;LFFR;Bar-sur-Seine Aerodrome;Restricted
Bastia / Poretta;LFKB;Bastia – Poretta Airport;Public
Beaune / Challanges;LFGF;Beaune - Challanges Airport;Public
Beauvais / Tillé;LFOB;Beauvais–Tillé Airport;Public
Bédarieux / La Tour-sur-Orb;LFNX;Bédarieux - La Tour-sur-Orb Aerodrome;Restricted
Belfort / Chaux;LFGG;Belfort Chaux Airport;Public
Belfort / Fontaine;LFSQ;Belfort - Fontaine Aerodrome;
